0,5,8,3,5,2,9,5,0,5,8,3,5,2,9,5
7,5,9,3,8,2,7,4,7,5,9,3,8,2,7,4
3,7,5,6,4,4,2,1,3,7,5,6,4,4,2,1
0,5,7,3,9,7,8,4,0,5,7,3,9,7,8,4
3,6,4,6,0,6,3,8,3,6,4,6,0,6,3,8
2,9,6,8,6,8,2,1,2,9,6,8,6,8,2,1
1,8,5,9,8,2,3,0,1,8,5,9,8,2,3,0
9,7,7,3,9,2,1,4,9,7,7,3,9,2,1,4
0,5,8,3,5,2,9,5,0,5,8,3,5,2,9,5
7,5,9,3,8,2,7,4,7,5,9,3,8,2,7,4
3,7,5,6,4,4,2,1,3,7,5,6,4,4,2,1
0,5,7,3,9,7,8,4,0,5,7,3,9,7,8,4
3,6,4,6,0,6,3,8,3,6,4,6,0,6,3,8
2,9,6,8,6,8,2,1,2,9,6,8,6,8,2,1
1,8,5,9,8,2,3,0,1,8,5,9,8,2,3,0
9,7,7,3,9,2,1,4,9,7,7,3,9,2,1,4
